,Unnamed: 0,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22,FEATURE,Especie,TIPOCORTA1,Especie2,TIPOCORTA2,TEMATICO,AREA_Calcu,Perimetro,RATIO,ID_Unico,Fecha_apro,Intensidad,Fecha_ap_2,Intens_2,Clara_Hech,OBSERV,layer,path,ABREV,Apta,Fecha,geometry,%2016,%2017,%2018,%2019,%2020,%2021,%2022,Area,Area_Calcu,Perimeter,Numero,2016,2017,2018,2019,2020,2021,2022,verif,2023,2024,pred
138,167,257.0,131,45,15,9,21,3,3,82,45,15,9,21,3,3,2,,Haya,clara,,Clara,2016 ejecutado,86598.878,1690.4048000605655,51.23,13120164104,2018.0,Moderado,2022,,C,2021 Casi Limpi,erika_2016_ID,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/erika_2016_ID.shp,Haya,SI,2018.0,"POLYGON ((-1.9918889992147917 42.90182379795901, -1.9921884161235832 42.901642584513496, -1.992552012345042 42.90149597004974, -1.9930196256535802 42.90126374536158, -1.9932726045062428 42.90109292491769, -1.9934517100164801 42.90094297216567, -1.9935717445376475 42.90079799114168, -1.9935678981404965 42.90058151240545, -1.9937196954704 42.90032813819074, -1.993825190066337 42.9001455748747, -1.9938733476016504 42.900351638712465, -1.994210551241715 42.9004357265764, -1.9944098189246322 42.90039957455308, -1.9947547346583483 42.9004567176318, -1.99495276842208 42.900496362729946, -1.9952279169118636 42.90076924670458, -1.9955313235026988 42.90111818776292, -1.995704619876981 42.90132525963554, -1.9960678673197672 42.90160971970333, -1.9962423963456772 42.901741081822244, -1.9963831546110968 42.90175024049219, -1.9963908571050635 42.9018668138475, -1.9964428836631567 42.90197828354842, -1.996512912561942 42.90203237898628, -1.9966743608878512 42.90209240861031, -1.9968637574965473 42.90215430384688, -1.997099670648981 42.90221921689979, -1.9973129494791457 42.902303379616306, -1.9975461909341923 42.902377362639214, -1.9977970616133798 42.90246059292146, -1.9980548922996142 42.90252578684024, -1.9982971804028602 42.90260263820718, -1.998528666823308 42.90270406414721, -1.998749592151984 42.90281521194875, -1.9989325884138591 42.90292953784459, -1.998746028453855 42.903284354008, -1.998544205471905 42.90367090910851, -1.9984615025294137 42.90394344201478, -1.9982126604886314 42.90346686664563, -1.9977924695576676 42.90334136713799, -1.9972666744748204 42.903144263350704, -1.9969743060334908 42.90304743255825, -1.996787361779868 42.903045792583995, -1.996637276513278 42.90307589881689, -1.9963320971580303 42.903108604700435, -1.9959209307889063 42.903093200447074, -1.9955596551553016 42.902960377721115, -1.9952517804163519 42.90283585524374, -1.99499114889656 42.90276288780659, -1.9945161995205603 42.90271945733985, -1.9940401380667647 42.90275056508346, -1.993665701973574 42.90277482165859, -1.9933930887094373 42.902780255664986, -1.993152873948987 42.902762475073864, -1.993057110154197 42.90273804288233, -1.992775264180488 42.902652997907076, -1.9926484727747196 42.90256157598374, -1.9923013451572438 42.902224577759874, -1.9930654591277308 42.90189736668165, -1.9928371048724645 42.9018090120054, -1.9926397802286466 42.901787556274805, -1.9924901073015582 42.90178623816576, -1.9918889992147917 42.90182379795901))",34.35114503816794,11.450381679389313,6.870229007633588,16.030534351145036,2.2900763358778624,2.2900763358778624,1.5267175572519083,,,,,H,C,C,C,C,C,C,T,X,X,C
139,168,258.0,158,0,12,5,9,0,2,26,0,12,5,9,0,2,1,,Haya,clara,,Clara,2016 ejecutado,102739.979,1294.6372695862683,79.358,23120164104,2017.0,Moderado,2018,,C,,erika_2016_ID,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/erika_2016_ID.shp,Haya,SI,2017.0,"POLYGON ((-1.949463785071943 42.89555260051127, -1.9492728176026484 42.89554544475114, -1.9488956992355617 42.895633996306074, -1.948614746770953 42.89559693016508, -1.9483989474059773 42.895535613084576, -1.9480556964536029 42.895521292973754, -1.9476726833541242 42.895469511440666, -1.9472840538189296 42.895451079748135, -1.9470537566202901 42.8953338048369, -1.946832952219269 42.89524632835969, -1.9466476542995714 42.89515548697175, -1.9462904605426676 42.895070535619915, -1.946180647401141 42.89499524495193, -1.9456702356795095 42.895005397290355, -1.945547628583225 42.89496969365117, -1.9455483967433211 42.89492468312279, -1.9455487607920638 42.89487966887168, -1.9455487222644743 42.89483456086061, -1.9455481776782149 42.89478953823917, -1.9455470269290471 42.89474451003387, -1.9455454720725054 42.89469947810588, -1.9455435115753357 42.894654532492495, -1.9455409476773562 42.89460949126922, -1.9455407732379628 42.894607868736806, -1.9455378037015911 42.89456291382806, -1.9455343284225786 42.894517954260344, -1.9455303486266053 42.894472990044896, -1.9455259659537218 42.89442802211789, -1.9455210760072021 42.89438313956909, -1.9455156803376388 42.89433825146077, -1.9455098802445832 42.894293450578424, -1.9455034740011026 42.89424864411184, -1.9454965617129139 42.894203923034496, -1.9454891436907253 42.89415919729771, -1.9454812196259819 42.89411455694998, -1.945472690640193 42.894069911028936, -1.9454636544049344 42.8940253495851, -1.9454612176170705 42.89401425351296, -1.9454509660180748 42.89396986097468, -1.9454397023155678 42.893925640114894, -1.9454275269404422 42.89388159095798, -1.9454145433918766 42.89383753345378, -1.945400950623579 42.893793651338726, -1.9453869537871282 42.89374976459873, -1.9453726529561262 42.89370596600805, -1.945358251731662 42.89366216649038, -1.9453438508521743 42.89361827602183, -1.9453296517178584 42.89357447836183, -1.9453157553915499 42.89353059253765, -1.9453023675658294 42.893486622245575, -1.945289686631464 42.89344256841311, -1.9452777138268638 42.89339843015137, -1.9452667540313633 42.89335421207069, -1.9452569082906148 42.893309734098956, -1.9452516887581561 42.89328420595186, -1.945242753182998 42.89323964631304, -1.9452342232531328 42.89319500035935, -1.9452261002076072 42.89315026720177, -1.9452183800312628 42.89310553865589, -1.9452112647873985 42.893060815683086, -1.9452046568217018 42.89301600733225, -1.9451987581816297 42.892971115465144, -1.9451935648820449 42.89292623009663, -1.9451890793704643 42.892881351249336, -1.9451854035916876 42.892836389811265, -1.9451826352119301 42.89279143583336, -1.9451807781821346 42.892746401101654, -1.9451799329272328 42.89270128564102, -1.9451798759519132 42.892686879585426, -1.9451802402232872 42.89264186532083, -1.9467641593164622 42.892651418050946, -1.9474996783743461 42.892670163321476, -1.9483231255752271 42.89263767095227, -1.948612498694218 42.89261233023999, -1.9487815037626297 42.89260983181246, -1.948988780351401 42.89259571037453, -1.9494470471746912 42.89256840785433, -1.9495943171714796 42.89256120708627, -1.9496661630086647 42.8934918411996, -1.9494380537534488 42.8949809106605, -1.9494692703695176 42.89553293319168, -1.949463785071943 42.89555260051127))",0.0,7.59493670886076,3.1645569620253164,5.69620253164557,0.0,1.2658227848101267,0.6329113924050633,,,,,N,C,C,C,N,C,N,T,X,X,C
180,213,346.0,65,0,52,5,51,8,1,17,0,52,5,51,8,1,7,,Alerce,clara,0,Clara,2016 ejecutado,41060.237,1061.3597847775009,38.686,2213120154123,2017.0,Bosquetes,2018,,C,,erika_2016_ID,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/erika_2016_ID.shp,Alerce,SI,2017.0,"POLYGON ((-1.727252738049774 43.27998844300142, -1.7262681927764134 43.280656404623784, -1.7250977829397576 43.28004550272499, -1.7249452684399291 43.279971765895404, -1.7247528204309734 43.27974451855687, -1.724833347432702 43.2796508722998, -1.7250525936856236 43.279369684410355, -1.7252147515685619 43.2792769471325, -1.7254545745110392 43.27933814476916, -1.725665115416825 43.27936299935442, -1.7259467780618036 43.27930898595219, -1.726182524282822 43.279269747702095, -1.7265610487606142 43.27925303085646, -1.7268899512076499 43.27913801997055, -1.727147260429008 43.27895179489291, -1.7274902928253602 43.278680983049775, -1.7279381694020917 43.27844284991397, -1.7285342903488432 43.2783246683874, -1.7289040527132422 43.278178067504875, -1.7291854105211855 43.27788044018951, -1.729241761863177 43.27794859682868, -1.7294315768964943 43.27826584867362, -1.7296667774497236 43.27866013900289, -1.7289640201725403 43.278931465292594, -1.728607653465842 43.27910308795002, -1.728183608687823 43.27926945545981, -1.7280672475204273 43.2793086810475, -1.7279483139580079 43.279397400651774, -1.7277383965105866 43.27963817908573, -1.7274629041009617 43.279846713655516, -1.727252738049774 43.27998844300142))",0.0,80.0,7.6923076923076925,78.46153846153847,12.307692307692308,1.5384615384615385,10.76923076923077,,,,,N,H,C,H,C,C,C,T,X,X,C
0,0,2.0,24,22,2,1,0,5,0,2,22,2,1,0,5,0,0,30200053.0,Pino laricio - (Austriako) Larizio pinua,Clara,,,2016 ejecutado,15646.022,510.92204883337547,30.623,2843120163162,2017.0,Grave,,,C,,2016_17_18_menos_2ha,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/2016_17_18_menos_2ha.shp,Laricio A.,SI,2017.0,"POLYGON ((-1.4265244673839108 42.62227904484516, -1.4259545067019042 42.62223626374892, -1.4257966675552816 42.62223539227421, -1.4257655359337036 42.621865752932244, -1.425800749977505 42.62144523042122, -1.4258394621711308 42.62116521167947, -1.4257872046629725 42.62114901195128, -1.4260599455345682 42.62115023858334, -1.4263816828356937 42.621157180738464, -1.4263970100427832 42.621156220608306, -1.4265311749933076 42.62118243235294, -1.426657162721323 42.62117989444273, -1.4266620888629493 42.621175540456754, -1.4267063373154625 42.621179020970544, -1.4267868369206322 42.62118300838688, -1.426965061578458 42.62118969770258, -1.4271969694079871 42.62119999662092, -1.427390340088108 42.621215349321325, -1.4273876373746972 42.62142395834916, -1.4273653716611991 42.62155765300748, -1.427332047328249 42.621703893436056, -1.4273169524201534 42.621751324746405, -1.4273091636020927 42.62178462783797, -1.4273049170285173 42.621812846487394, -1.4272955485673147 42.62184108486428, -1.4272943984163007 42.62185286614632, -1.4272939746233115 42.621869700425655, -1.427291437809464 42.62188812666402, -1.4272910888024117 42.62190199018811, -1.4273077667276945 42.62198542908109, -1.4273143876872487 42.62205179973318, -1.4273282449490867 42.622164458436245, -1.4273649212502373 42.622335074004944, -1.4272634556781247 42.622335571975064, -1.4271747340687158 42.62232390745406, -1.4271503167173827 42.62232024016371, -1.427042172802993 42.62230992980631, -1.42691016163128 42.62230316387967, -1.4266869503017834 42.62228631983086, -1.4265244673839108 42.62227904484516))",91.66666666666666,8.333333333333332,4.166666666666666,0.0,20.833333333333336,0.0,0.0,,,,,H,C,C,N,C,N,N,T,X,X,C
1,2,7.0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,30200053.0,Roble americano - Haritz amerikarra/Norteko haritza,Clara,,,2017 ejecutado,15333.892,477.611134394813,32.105,10863120173115,2019.0,Moderado,,,C,,2016_17_18_menos_2ha,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/2016_17_18_menos_2ha.shp,R. America,SI,2019.0,"POLYGON ((-1.5317367912413307 43.152135390956694, -1.5317533690849996 43.152138512236505, -1.531799032261508 43.15216685966035, -1.5318277527101074 43.15221708704185, -1.531841045183651 43.15228345985968, -1.5317841893872837 43.152498103469355, -1.531770182663145 43.15263569490261, -1.5317516113207712 43.1527836281193, -1.5317260587853478 43.152869726815915, -1.5316992693670506 43.15298333685486, -1.5316381488834057 43.15310175593142, -1.5316202661259957 43.15317520245934, -1.5316067537612355 43.15322227642659, -1.5314397911862465 43.153243986461, -1.5310856448274957 43.15329670007968, -1.5308374907308913 43.1533258130061, -1.5305469598480572 43.15334030677846, -1.5303437785549239 43.1533393264754, -1.5301704039306845 43.15334732823784, -1.5301522638945706 43.153267241901105, -1.5301515424132388 43.15326039809958, -1.5301399385622583 43.15314930267721, -1.530141845162925 43.153046160868755, -1.5301403218775842 43.152990159369196, -1.5301390743984087 43.15294420160102, -1.530137734715276 43.1528307707822, -1.5301255812688632 43.152727727453644, -1.5301354017517947 43.15263255739179, -1.530150171121932 43.152560277712375, -1.5301790750262227 43.15249248386571, -1.5302362201539716 43.15243482291226, -1.5303108865797468 43.15240454507229, -1.530399297184999 43.15234782599538, -1.5304878797256196 43.15230599375104, -1.530561033362331 43.15228032470549, -1.5306622880082694 43.15225216208324, -1.530882406256275 43.15223239649365, -1.5309994760755905 43.15222018581826, -1.531090089169238 43.15221729729676, -1.5312802501943747 43.152174814721675, -1.5313533819867147 43.15214798328687, -1.531434499620067 43.15213485135347, -1.531535987973168 43.152126177028386, -1.5316828832244551 43.1521252171302, -1.5317367912413307 43.152135390956694))",0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,,,,,N,C,N,N,N,N,N,F,X,X,N
2,3,10.0,27,0,0,15,4,1,1,0,0,0,15,4,1,1,0,30200053.0,Pino radiata - Insignis pinua/Radiata pinua/Pinu beltza,Clara,Roble americano - Haritz amerikarra/Norteko haritza,Clara,2017 ejecutado,16547.069,505.86684990135734,32.71,13213120173378,2018.0,Grave,,,C,,2016_17_18_menos_2ha,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/2016_17_18_menos_2ha.shp,P. Radiata,SI,2018.0,"POLYGON ((-1.7136220762818735 43.26022323210724, -1.7134110173260801 43.260927800811054, -1.71322036673625 43.260925656045906, -1.7130544985522713 43.26092782948943, -1.7128574284149187 43.260968028443976, -1.7127794672830694 43.2609931858938, -1.712468433757585 43.260935372438254, -1.7116161893093262 43.26072177199544, -1.7115666902972757 43.26065235954732, -1.7114865293821961 43.26045503153951, -1.7114005282990108 43.26028460626095, -1.7113575553336644 43.26019458998593, -1.7114878209143292 43.26016130007703, -1.7115833579649598 43.260102730271264, -1.7117000387313355 43.25997337975715, -1.711799090447952 43.25991755071843, -1.711853932498267 43.25984669036704, -1.7122371238951848 43.259804608312045, -1.712514357928152 43.25987825917985, -1.7129924673449048 43.260087392843396, -1.7132836708441566 43.26015075111703, -1.7136220762818735 43.26022323210724))",0.0,0.0,55.55555555555556,14.814814814814813,3.7037037037037033,3.7037037037037033,0.0,,,,,N,N,H,C,C,C,N,T,X,X,C
3,4,11.0,24,0,0,14,6,6,4,12,0,0,14,6,6,4,7,30200053.0,Pino silvestre o albar - Pinu gorria,Clara,,,2017 ejecutado,15216.622,492.55507741301847,30.893,14173120173069,2018.0,Grave,,,C,Parece corta he,2016_17_18_menos_2ha,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/2016_17_18_menos_2ha.shp,P. silvest,SI,2018.0,"POLYGON ((-1.2054638015716845 42.77245063029805, -1.2054147571452327 42.77245064699806, -1.205128238630777 42.77255063378327, -1.204805904222107 42.77266311803714, -1.2044749184960573 42.77259386975507, -1.2042372911051789 42.77242336042167, -1.2035361042896084 42.772066882227406, -1.2033746875635674 42.771721004910816, -1.2036212297484605 42.77163934924124, -1.2039333126823237 42.771471506877276, -1.2044218070751358 42.771354082690166, -1.2049271246717654 42.77146850643862, -1.2049031777737456 42.771750457330455, -1.205339735444247 42.77197931819624, -1.2053894986309606 42.77209763646928, -1.2054204121887069 42.77225483864848, -1.2054638015716845 42.77245063029805))",0.0,0.0,58.333333333333336,25.0,25.0,16.666666666666664,29.166666666666668,,,,,N,N,H,C,C,C,C,T,X,X,C
4,5,13.0,28,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30200053.0,Pino silvestre o albar - Pinu gorria,Clara,Pino laricio - (Austriako) Larizio pinua,Clara,2017 ejecutado,17925.544,549.5308737930611,32.62,26893120173258,2019.0,Leve,2022,Moderado,C,,2016_17_18_menos_2ha,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/2016_17_18_menos_2ha.shp,P. silvest,SI,2019.0,"POLYGON ((-1.42510007152827 42.69677930600122, -1.4250997498341298 42.69677850911159, -1.4250997984233824 42.6967785187851, -1.4250995246358849 42.69677775857546, -1.4250811462804418 42.696729642707794, -1.4250569080140614 42.696668964913876, -1.4250417747352937 42.696631087656996, -1.425029076633291 42.69659733229117, -1.42501382767994 42.69655678787341, -1.4249956043203384 42.69650834092657, -1.424984393136258 42.696478550322674, -1.424971677308862 42.696443083700814, -1.4249554672975528 42.69639564601441, -1.4249337890012699 42.69633222977153, -1.424902890452199 42.696241886961374, -1.424862812637047 42.696125896890585, -1.4248511531576487 42.6960950104658, -1.4249105294276045 42.69608602939686, -1.4249097416752303 42.69608290273129, -1.4250179811321602 42.696047136537295, -1.425278463413855 42.695917917687275, -1.4257053353752382 42.69581944247899, -1.4260679397842624 42.6957200823947, -1.4262037919257606 42.69565390548749, -1.4261967650797094 42.69571653978253, -1.4262778187402283 42.695927648069826, -1.4263771464034969 42.696130632484184, -1.426508950228221 42.69633308146504, -1.4266740325646323 42.6965322413, -1.426812374300942 42.696704044688275, -1.4268636772007286 42.69676775046909, -1.426898461972572 42.696809220390435, -1.426682912612696 42.69682892553581, -1.4264481436191667 42.69695850088459, -1.426187910908826 42.69707824322971, -1.425915532552871 42.69716936131612, -1.425631500581167 42.697212878673035, -1.4252949764239435 42.69730837247609, -1.4252951584969369 42.69730889728653, -1.425290758787963 42.69731052978103, -1.4252869343120684 42.69730244447285, -1.4252640672895818 42.69724835944455, -1.4252429687885422 42.69719434375731, -1.4252271565713976 42.69715385466261, -1.425206907096344 42.69710199390231, -1.4251909811497057 42.69705537964118, -1.4251758849302567 42.6970111992108, -1.4251651660884563 42.696979794445106, -1.4251445724706957 42.696913538486726, -1.425129209807955 42.69686299665049, -1.42510007152827 42.69677930600122))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,N,N,N,N,N,N,N,F,X,X,N
5,6,14.0,30,0,0,0,9,18,0,23,0,0,0,9,18,0,0,30200053.0,Pino laricio - (Austriako) Larizio pinua,Clara,,,2017 ejecutado,18512.643,552.9580814474214,33.479,26953120173258,2020.0,Grave,,,C,,2016_17_18_menos_2ha,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/2016_17_18_menos_2ha.shp,Laricio A.,SI,2020.0,"POLYGON ((-1.4165508386045997 42.67954104151297, -1.4165952971517881 42.67952103405017, -1.4166169706401341 42.67949422772061, -1.416639233726399 42.67944420483808, -1.416682567933558 42.67939060999129, -1.4167576872898513 42.67932582869634, -1.4168166621759237 42.679276313304385, -1.4168443557142667 42.67921862088256, -1.4169411354821055 42.679127041910064, -1.4169637910859367 42.67906154425327, -1.4169808074417933 42.67901144877416, -1.417076800681819 42.67895082808272, -1.417172498918245 42.67890182008656, -1.4172365228096124 42.67886011882551, -1.4173008414083998 42.678806804746614, -1.4173753576554629 42.6787652484109, -1.4174436449862697 42.67876232879894, -1.4175064897684144 42.67876706950437, -1.4175850736012339 42.67877201864604, -1.4176741495336023 42.67877713071172, -1.4177843950664208 42.678774781609896, -1.417879208665334 42.67876060235647, -1.4179745131059975 42.6787270773855, -1.4181057436191493 42.678725017861304, -1.418195691214374 42.67869529099639, -1.41831109686295 42.67869688494425, -1.4184159977873012 42.67869833370311, -1.418504975741229 42.67870730704881, -1.4186194858180947 42.67874372987855, -1.418707384154162 42.678795274289214, -1.418768756717097 42.67885806924368, -1.4187935035715347 42.678916486195156, -1.4188338914018648 42.678978982370765, -1.4188743894515057 42.67903761677384, -1.4189090400815416 42.67911940414212, -1.4189333947362361 42.679193295780685, -1.4189530059192732 42.679247769508365, -1.4189721143516405 42.67932158870998, -1.4189811347939547 42.67937978850623, -1.4189796625912452 42.679437843446806, -1.4189787793588409 42.67947267280998, -1.418950682802427 42.67954584932495, -1.4189667472188001 42.67959098960442, -1.4188347101227416 42.67955933208863, -1.4187703718742 42.67956050599145, -1.4187461334415794 42.67956095478592, -1.4185931089268322 42.67956374069932, -1.4183183417845928 42.67959479673576, -1.4182877535653393 42.67959825556254, -1.4182758086758092 42.67960339471508, -1.4182307436505515 42.67962279109901, -1.4181940819017547 42.67963857533414, -1.418078223403865 42.67968843136458, -1.4180776187116126 42.67968869317119, -1.4180435977837347 42.679703334140164, -1.4178625573533918 42.679775568269726, -1.4178014252883462 42.67979996559482, -1.4177624689840043 42.67981862670566, -1.4176780240137323 42.67985941572955, -1.4176253105630707 42.679884883840664, -1.417565776286512 42.67991364367633, -1.417526469168545 42.679933137352705, -1.4174149992431895 42.679988447530135, -1.4174136024926483 42.679989139647965, -1.4173531085326196 42.68001915585904, -1.4173060620643638 42.680001674757804, -1.4172591210066892 42.67999013859982, -1.4171976072485937 42.67997186315836, -1.417142207552992 42.6799449640528, -1.4171248910561736 42.67992947871952, -1.4170808074494121 42.679904428988756, -1.4169940763593183 42.679856897830675, -1.4169583467005156 42.679817690107534, -1.4169276548860585 42.679786287575894, -1.416860840383231 42.67973116098556, -1.416799174044528 42.679679977810785, -1.4167217807576107 42.679628586182176, -1.4166603112475844 42.67956966108503, -1.4165508386045997 42.67954104151297))",0.0,0.0,0.0,30.0,60.0,0.0,0.0,,,,,N,N,N,C,H,N,N,T,X,X,C
6,8,20.0,26,0,7,0,0,6,3,11,0,7,0,0,6,3,8,30200052.0,Roble americano - Haritz amerikarra/Norteko haritza,clara,,,2016 ejecutado,16851.626,515.8487732164863,32.668,42733120164056,2020.0,Moderado,2022,Hecho,C,,2016_17_18_menos_2ha,C:/Users/giambelluca.144055/OneDrive/Doctorado/Datos_Laura/2016 2018 2019 Menos 2ha/2016_17_18_menos_2ha.shp,R. America,SI,2020.0,"POLYGON ((-1.8221002551580305 42.98431291295031, -1.8226368105381454 42.98355734897895, -1.8229215360785802 42.98321611056286, -1.8231524222415638 42.98329963007762, -1.8234157039743826 42.9836828796136, -1.8238563671052013 42.98456777232038, -1.8238661465657635 42.984606487968655, -1.8238624819594897 42.984610846538885, -1.8237624971404351 42.98473059374369, -1.822975509540135 42.984869008274586, -1.8226356662701164 42.98492850607606, -1.822465955847632 42.984921067163874, -1.8222556037648634 42.98467699740979, -1.8221002551580305 42.98431291295031))",0.0,26.923076923076923,0.0,0.0,23.076923076923077,11.538461538461538,30.76923076923077,,,,,N,C,N,N,C,C,C,T,X,X,C
