,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22
171,772.0,123,22,7,1,7,120,5,84,22,7,1,7,120,5,44
172,779.0,89,4,1,0,70,2,24,26,4,1,0,70,2,24,26
173,267.0,102,1,94,3,40,4,0,82,1,94,3,40,4,0,57
174,782.0,37,0,0,0,15,34,3,11,0,0,0,15,34,3,2
175,783.0,46,1,0,25,0,42,1,7,1,0,25,0,42,1,3
176,784.0,115,0,2,4,35,78,64,12,0,2,4,35,78,64,5
177,271.0,77,0,30,27,23,9,21,23,0,30,27,23,9,21,13
178,270.0,32,0,22,0,0,2,0,0,0,22,0,0,2,0,0
179,276.0,80,25,19,34,22,1,9,10,25,19,34,22,1,9,0
180,279.0,31,0,5,7,24,10,1,16,0,5,7,24,10,1,15
181,280.0,46,0,34,13,12,18,11,9,0,34,13,12,18,11,3
182,794.0,52,0,0,0,30,37,7,14,0,0,0,30,37,7,1
183,795.0,187,0,6,20,21,176,7,47,0,6,20,21,176,7,37
184,796.0,293,0,2,11,267,152,25,41,0,2,11,267,152,25,12
185,798.0,44,0,0,0,2,6,20,5,0,0,0,2,6,20,5
186,799.0,28,1,0,0,0,18,7,2,1,0,0,0,18,7,2
187,800.0,447,1,20,45,80,298,92,127,1,20,45,80,298,92,24
188,801.0,31,0,10,10,18,5,2,6,0,10,10,18,5,2,0
189,802.0,137,27,52,75,36,24,5,22,27,52,75,36,24,5,5
190,286.0,140,18,11,1,105,28,12,79,18,11,1,105,28,12,12
191,293.0,101,23,10,9,2,20,67,16,23,10,9,2,20,67,16
192,294.0,96,0,2,0,28,57,37,0,0,2,0,28,57,37,0
193,295.0,79,19,29,1,63,13,14,40,19,29,1,63,13,14,40
194,296.0,76,4,2,0,0,0,8,22,4,2,0,0,0,8,22
195,297.0,143,104,25,8,2,0,2,0,104,25,8,2,0,2,0
196,810.0,178,8,19,117,49,24,52,20,8,19,117,49,24,52,6
197,809.0,74,7,8,62,8,3,13,12,7,8,62,8,3,13,3
198,300.0,89,0,13,23,39,9,3,22,0,13,23,39,9,3,9
199,814.0,41,0,11,18,12,8,8,15,0,11,18,12,8,8,8
200,307.0,75,0,0,0,0,36,26,17,0,0,0,0,36,26,17
201,1332.0,36,9,0,0,2,16,3,3,9,0,0,2,16,3,1
202,820.0,49,1,9,24,23,0,28,16,1,9,24,23,0,28,3
203,823.0,43,29,6,19,14,16,25,22,29,6,19,14,16,25,5
204,828.0,34,2,2,2,8,24,9,12,2,2,2,8,24,9,4
205,829.0,53,4,9,12,34,0,36,7,4,9,12,34,0,36,0
206,834.0,91,69,1,57,19,4,4,4,69,1,57,19,4,4,3
207,835.0,69,0,0,10,39,0,66,5,0,0,10,39,0,66,1
208,326.0,116,102,0,0,100,5,0,3,102,0,0,100,5,0,0
209,327.0,77,40,20,3,12,1,0,1,40,20,3,12,1,0,0
210,337.0,75,0,2,0,0,0,56,17,0,2,0,0,0,56,17
211,851.0,56,0,1,0,0,49,3,9,0,1,0,0,49,3,7
212,344.0,29,1,0,7,24,2,5,3,1,0,7,24,2,5,2
213,346.0,65,0,52,5,51,8,1,17,0,52,5,51,8,1,7
214,348.0,52,7,45,0,7,3,0,6,7,45,0,7,3,0,0
215,351.0,82,14,15,2,74,12,62,52,14,15,2,74,12,62,52
216,867.0,108,0,0,0,11,0,1,106,0,0,0,11,0,1,106
217,893.0,36,1,12,26,0,8,7,1,1,12,26,0,8,7,0
218,899.0,155,37,29,32,34,5,3,95,37,29,32,34,5,3,15
219,387.0,104,0,58,59,29,45,41,19,0,58,59,29,45,41,19
220,388.0,45,0,19,32,6,4,22,1,0,19,32,6,4,22,1
221,392.0,85,0,0,0,6,76,0,22,0,0,0,6,76,0,0
222,905.0,49,4,0,11,41,3,2,25,4,0,11,41,3,2,21
223,906.0,30,0,29,0,10,1,6,3,0,29,0,10,1,6,1
224,393.0,102,0,0,0,97,0,9,56,0,0,0,97,0,9,56
225,400.0,40,0,0,24,6,0,0,22,0,0,24,6,0,0,4
226,409.0,239,0,215,20,82,11,92,155,0,215,20,82,11,92,21
227,419.0,48,0,0,0,25,0,0,2,0,0,0,25,0,0,2
228,422.0,120,0,0,0,44,0,0,0,0,0,0,44,0,0,0
229,186.0,86,19,21,10,27,35,1,56,19,21,10,27,35,1,56
230,427.0,47,0,47,0,27,0,4,16,0,47,0,27,0,4,16
231,428.0,53,0,53,0,30,0,0,22,0,53,0,30,0,0,21
232,941.0,213,0,1,5,172,56,5,122,0,1,5,172,56,5,122
233,942.0,72,0,0,0,61,0,1,3,0,0,0,61,0,1,0
234,430.0,260,4,247,3,22,4,38,82,4,247,3,22,4,38,25
235,429.0,317,45,147,80,19,27,23,82,45,147,80,19,27,23,49
236,431.0,693,46,607,5,91,3,13,189,46,607,5,91,3,13,79
237,434.0,99,69,16,0,21,1,7,11,69,16,0,21,1,7,3
238,435.0,387,128,243,19,84,12,29,46,128,243,19,84,12,29,19
239,948.0,38,0,1,0,37,2,2,8,0,1,0,37,2,2,0
240,949.0,173,0,0,0,173,20,0,94,0,0,0,173,20,0,17
241,950.0,231,0,1,2,222,18,37,112,0,1,2,222,18,37,76
242,951.0,85,0,0,0,78,0,4,58,0,0,0,78,0,4,18
243,952.0,55,0,0,0,51,0,0,16,0,0,0,51,0,0,8
244,953.0,129,0,0,0,115,1,2,69,0,0,0,115,1,2,21
245,954.0,32,0,7,28,4,1,3,3,0,7,28,4,1,3,0
246,955.0,65,0,0,0,62,47,3,15,0,0,0,62,47,3,12
247,956.0,42,1,0,0,4,12,21,9,1,0,0,4,12,21,9
248,957.0,84,0,0,3,70,17,7,28,0,0,3,70,17,7,24
249,438.0,99,16,75,2,41,0,0,25,16,75,2,41,0,0,7
250,700.0,217,3,161,50,50,59,23,98,3,161,50,50,59,23,90
251,451.0,142,0,3,136,13,82,22,54,0,3,136,13,82,22,31
252,701.0,73,0,12,5,6,28,9,12,0,12,5,6,28,9,0
253,600.0,84,1,48,0,32,52,17,62,1,48,0,32,52,17,60
254,1115.0,203,0,41,72,14,1,0,9,0,41,72,14,1,0,3
255,1117.0,269,0,227,1,15,8,0,18,0,227,1,15,8,0,8
