,Unnamed: 0,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22,M7_16,M7_17,M7_18,M7_19,M7_20,M7_21,M7_22,Mb6_16,Mb6_17,Mb6_18,Mb6_19,Mb6_20,Mb6_21,Mb6_22
156,156,231.0,104,0,0,0,6,75,1,45,0,0,0,6,75,1,0,0.0,0.0,0.0,0.001523488,0.03492738,0.00036886442,0.0,0.0,0.0,0.0,0.0024077059,0.052007865,0.0007241045,0.0
157,157,744.0,51,0,0,38,8,4,1,5,0,0,38,8,4,1,2,0.0,0.0,0.038200684,0.0026303164,-0.0028530927,-0.00083376287,-0.0012905755,0.0,0.0,0.05669618,0.0040233824,-0.0033094916,-0.00095045083,-0.0024799726
158,158,743.0,62,4,2,0,2,0,10,5,4,2,0,2,0,10,1,-0.0024743103,0.00018411776,0.0,0.0012052393,0.0,-0.0011428306,0.00051961787,-0.0030634725,0.00021423027,0.0,0.0017822316,0.0,-0.0015877585,0.00057938625
159,159,234.0,54,6,48,20,9,32,2,15,6,48,20,9,32,2,9,-0.009362015,0.03599101,0.009917553,-0.0008536585,0.028389862,0.0026415142,0.01099,-0.009485815,0.10806067,0.015911343,-0.0035587775,0.040649276,0.0037235634,0.017306263
160,160,745.0,42,0,0,38,4,8,0,2,0,0,38,4,8,0,2,0.0,0.0,0.06854868,0.006057138,-0.005041175,0.0,0.001436953,0.0,0.0,0.11084754,0.008422053,-0.0065105474,0.0,0.0022165212
161,161,746.0,87,0,0,10,77,17,4,9,0,0,10,77,17,4,7,0.0,0.0,0.01578936,0.107049465,-0.00861533,0.00235506,0.004477058,0.0,0.0,0.022385063,0.13365637,-0.014214657,0.002939432,0.0054425793
162,162,230.0,639,8,540,7,6,9,6,38,8,540,7,6,9,6,20,0.0011257579,0.055421483,-0.00022026815,0.00031998608,-0.0006752267,0.00034128805,0.0016431366,0.0011367467,0.037349813,-0.0004196359,0.00037391865,-0.0007683826,0.00014063917,0.0016332606
163,163,245.0,62,2,2,0,39,23,1,18,2,2,0,39,23,1,13,-0.0008902491,0.0010803103,0.0,0.032718875,0.025800517,-0.0005722747,0.010275088,-0.0016363383,0.0017554486,0.0,0.053788185,0.03970528,-0.0008390701,0.01717943
164,164,766.0,73,0,1,7,47,45,0,51,0,1,7,47,45,0,0,0.0,0.0003615135,0.0036831787,0.024151873,0.029292697,0.0,0.0,0.0,0.0005734825,0.0044051628,0.031874906,0.043624423,0.0,0.0
165,165,768.0,34,0,0,1,25,7,2,3,0,0,1,25,7,2,2,0.0,0.0,0.0022627218,0.030694578,0.007966182,0.0031278564,0.002115789,0.0,0.0,0.0024141567,0.049152754,0.015585498,0.00631175,0.004314865
166,166,769.0,62,0,0,38,24,27,0,1,0,0,38,24,27,0,0,0.0,0.0,0.04212142,0.025500389,0.026979743,0.0,0.0,0.0,0.0,0.06384684,0.03631221,0.031019734,0.0,0.0
167,167,257.0,131,31,21,0,15,0,0,76,31,21,0,15,0,0,2,-0.004504574,0.004418416,0.0,0.0046445103,0.0,0.0,0.00047727543,-0.0041440986,0.0063630035,0.0,0.0055767973,0.0,0.0,0.00071837043
168,168,258.0,158,0,14,5,7,0,0,18,0,14,5,7,0,0,1,0.0,0.002739115,-0.001219791,0.001341795,0.0,0.0,-0.00046937048,0.0,0.0040341737,-0.003364224,0.0023951305,0.0,0.0,-0.00076379656
169,169,1284.0,38,0,0,0,0,36,0,7,0,0,0,0,36,0,0,0.0,0.0,0.0,0.0,0.11436647,0.0,0.0,0.0,0.0,0.0,0.0,0.17483555,0.0,0.0
170,170,773.0,292,0,0,0,254,1,0,37,0,0,0,254,1,0,6,0.0,0.0,0.0,0.06148951,0.000114453294,0.0,-0.0009155542,0.0,0.0,0.0,0.07897961,0.00019630669,0.0,-0.0015302936
171,171,772.0,123,5,4,2,0,111,10,83,5,4,2,0,111,10,38,0.00058251445,0.0007258987,0.00075532583,0.0,0.079865836,0.0064863604,-1.7674867e-05,0.0011700388,0.001062197,0.0011377706,0.0,0.109329194,0.0056820847,4.3169028e-05
172,172,779.0,89,5,1,0,68,4,9,40,5,1,0,68,4,9,36,-0.0024041582,0.0007508737,0.0,0.050633192,-0.00097520644,-0.001938576,0.023523076,-0.005098538,0.0010205829,0.0,0.07132143,-0.002038127,-0.0022484076,0.036633585
173,173,267.0,102,1,100,0,60,5,0,62,1,100,0,60,5,0,37,0.00038065645,0.09601916,0.0,-0.025780654,-0.0027985794,0.0,0.012728134,0.0005407378,0.15176097,0.0,-0.03255349,-0.003044275,0.0,0.014803051
174,174,782.0,37,0,1,0,2,34,1,26,0,1,0,2,34,1,1,0.0,-0.00062716665,0.0,0.0018270586,0.04911828,-0.0008437275,-0.0015380331,0.0,-0.001306843,0.0,0.002372256,0.06960733,-0.0014863154,-0.0021949916
175,175,783.0,46,1,2,17,2,39,1,13,1,2,17,2,39,1,6,0.0012833466,0.0008858103,0.008525874,0.00096510083,0.056704305,0.0008109996,-0.0020586762,0.0010222595,0.001573294,0.013913578,0.001428298,0.080197155,0.0011941034,-0.006302316
176,176,784.0,115,0,1,3,25,75,37,21,0,1,3,25,75,37,7,0.0,0.00023211287,0.0010584308,0.006404306,0.03303899,0.012851404,0.0033550654,0.0,0.00030584793,0.0014132052,0.007993411,0.04686071,0.011198468,0.0026864118
177,177,271.0,77,0,5,39,18,9,2,34,0,5,39,18,9,2,1,0.0,0.003006823,0.023590717,0.014164795,-0.004064733,-0.0020848913,0.00071351446,0.0,0.0044181165,0.03701399,0.018464943,-0.0049961475,-0.0036367811,0.0013130612
178,178,270.0,32,0,22,0,1,0,1,0,0,22,0,1,0,1,0,0.0,0.07011721,0.0,0.0016216121,0.0,0.001515091,0.0,0.0,0.091969006,0.0,0.0020317242,0.0,0.0014479366,0.0
179,179,276.0,80,4,22,34,11,0,2,13,4,22,34,11,0,2,0,-0.0031698924,0.014408088,0.0330555,-0.0058693,0.0,0.0015908375,0.0,-0.0038184638,0.020418692,0.038660616,-0.008365944,0.0,0.0019702713,0.0
180,180,279.0,31,0,5,6,19,8,1,20,0,5,6,19,8,1,13,0.0,0.0051900432,0.0064010886,0.034964807,0.013564669,-0.0017883155,0.021666858,0.0,0.009987815,0.009099493,0.047806233,0.022682672,-0.0024743017,0.020606156
181,181,280.0,46,0,34,13,4,0,5,2,0,34,13,4,0,5,2,0.0,0.09388448,0.035263665,0.008318088,0.0,0.01232378,0.001371151,0.0,0.12673685,0.038560733,0.00997149,0.0,0.011611977,0.0021426254
182,182,794.0,52,0,0,0,15,51,3,18,0,0,0,15,51,3,10,0.0,0.0,0.0,0.010759469,0.06673428,0.0048238724,0.009817599,0.0,0.0,0.0,0.015795106,0.10867085,0.00893651,0.016056884
183,183,795.0,187,0,4,9,10,167,22,29,0,4,9,10,167,22,22,0.0,-0.00037374685,0.0015975081,0.0014975347,0.05873867,0.005412978,-0.003885011,0.0,-0.0006544947,0.0015370409,0.0023131438,0.082287505,0.0077578966,-0.0036961
184,184,796.0,293,0,0,4,250,91,52,22,0,0,4,250,91,52,6,0.0,0.0,0.00032313794,0.046214458,0.012354105,0.0067232447,-0.00046819507,0.0,0.0,0.0006140268,0.0683794,0.010700092,0.011025105,-0.0006980805
185,185,798.0,44,0,0,0,0,7,11,9,0,0,0,0,7,11,5,0.0,0.0,0.0,0.0,0.008133738,0.0130229825,0.0039665606,0.0,0.0,0.0,0.0,0.012194685,0.020949366,0.007417809
186,186,799.0,28,0,0,0,0,13,8,2,0,0,0,0,13,8,2,0.0,0.0,0.0,0.0,0.010306494,0.0066719633,-0.00072368485,0.0,0.0,0.0,0.0,0.018229453,0.015750973,-0.0008011133
187,187,800.0,447,1,7,19,99,289,90,136,1,7,19,99,289,90,13,-5.9526425e-05,-0.00044834134,0.0017004396,0.008654383,0.034472894,0.010545759,-0.0005246779,-0.000104370214,-0.00069972296,0.0023895828,0.011692671,0.051948536,0.014839225,-0.00094388967
188,188,801.0,31,0,11,8,16,7,2,10,0,11,8,16,7,2,5,0.0,0.009093661,0.0068140286,0.020601112,0.007912432,-0.0035330802,0.003490942,0.0,0.01094626,0.009447419,0.030013215,0.011884198,-0.004002573,0.0054428265
189,189,802.0,137,26,35,75,37,24,6,22,26,35,75,37,24,6,1,0.007078045,0.011746215,0.033217866,0.010044271,-0.00540877,-0.0001330447,0.00024761487,0.008967422,0.016076373,0.04870112,0.0094312765,-0.003526933,0.00017608376,0.00033507793
190,190,286.0,140,8,11,0,100,21,26,45,8,11,0,100,21,26,15,-0.0022408983,0.0034531173,0.0,0.03745197,-0.0014927045,0.0034650224,0.0059765894,-0.00270828,0.0063921106,0.0,0.04401395,-0.003969164,0.005560504,0.009181682
